League ID,Season,VAR,Rank,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points per Match,PPM Share,Points Share,MUD Share,Gini,HHI,Entropy,HICB,R Entropy,HRCB,Entropy Ratio,Gini Ratio,PPM HRCB,PPM Entropy Ratio,PPM Gini Ratio
E0,1617,0.0,10.5,38.0,14.8,8.4,14.8,53.2,53.2,0.0,52.8,1.3894736842105264,0.04999999999999994,0.04999999999999994,0.049999999999999954,0.199715909090909,0.05671415863177219,4.228214463297167,113.42831726354459,0.9783167073739486,0.3644828971533532,0.294260342284779,0.5706168831168834,0.3644828971533524,0.2942603422847818,0.5706168831168835
E0,1718,0.0,10.5,38.0,14.05,9.9,14.05,50.9,50.9,0.0,52.05,1.3697368421052631,0.04999999999999996,0.04999999999999996,0.049999999999999954,0.1920749279538905,0.05644373205768109,4.235836487797686,112.88746411536235,0.9800802777835382,0.3498025974169789,0.270327222840284,0.5487855084396873,0.3498025974169793,0.2703272228402812,0.5487855084396874
E0,1819,0.0,10.5,38.0,15.45,7.1,15.45,53.6,53.6,0.0,53.45,1.4065789473684212,0.04999999999999995,0.04999999999999995,0.049999999999999954,0.210710944808232,0.05733744851285609,4.216157816059036,114.67489702571228,0.9755270618792924,0.3983186335550484,0.3321181553147291,0.602031270880663,0.3983186335550484,0.3321181553147319,0.6020312708806628
E0,1920,1.0,10.5,38.0,14.4,9.2,14.4,51.7,51.7,0.0,52.4,1.3789473684210525,0.04999999999999995,0.04999999999999995,0.049999999999999954,0.1797709923664122,0.0554655177437212,4.244935078738739,110.93103548744243,0.9821854934977509,0.2966995346591521,0.2417576920346543,0.5136314067611779,0.2966995346591517,0.2417576920346543,0.5136314067611779
E0,2021,1.0,10.5,38.0,14.85,8.3,14.85,51.2,51.2,0.0,52.85,1.3907894736842106,0.049999999999999954,0.04999999999999995,0.049999999999999954,0.1758278145695364,0.0548499036472621,4.2482374452870015,109.69980729452432,0.9829495891688864,0.2632804837085172,0.2313882773150223,0.5023651844843898,0.2632804837085172,0.23138827731501949,0.5023651844843899
E0,2122,1.0,10.5,38.0,14.6,8.8,14.6,53.55,53.55,0.0,52.6,1.3842105263157896,0.04999999999999996,0.04999999999999996,0.049999999999999954,0.1970532319391635,0.0564252049328456,4.230521766126412,112.85040986569125,0.9788505669797976,0.3487968392116194,0.2870154227488773,0.563009234111896,0.3487968392116194,0.2870154227488773,0.5630092341118962
E0,2223,1.0,10.5,38.0,14.65,8.7,14.65,54.2,54.2,0.0,52.65,1.3855263157894737,0.04999999999999995,0.04999999999999995,0.049999999999999954,0.1902659069325736,0.055669641931116995,4.241079514628157,111.33928386223415,0.9812933999631216,0.3077805619749271,0.2538641443791973,0.5436168769502104,0.3077805619749271,0.2538641443791973,0.5436168769502107
E1,1314,0.0,12.5,46.0,16.5,13.0,16.5,59.75,59.75,0.0,62.5,1.358695652173913,0.04166666666666664,0.04166666666666664,0.04166666666666665,0.1467222222222222,0.0445173333333333,4.536562428998478,106.84160000000001,0.9894437366248764,0.18882816,0.1554399485357966,0.42256,0.18882816,0.1554399485357966,0.42256
E1,1415,0.0,12.5,46.0,16.416666666666668,13.166666666666666,16.416666666666668,61.416666666666664,61.416666666666664,0.0,62.416666666666664,1.3568840579710146,0.0416666666666666,0.041666666666666616,0.04166666666666665,0.1522029372496662,0.0446790647432001,4.5309750687669,107.22975538368024,0.9882251093775,0.1995412485895749,0.17338411588793937,0.4383444592790387,0.199541248589574,0.1733841158879423,0.4383444592790387
E1,1516,0.0,12.5,46.0,15.833333333333334,14.333333333333334,15.833333333333334,55.708333333333336,55.708333333333336,0.0,61.833333333333336,1.3442028985507246,0.04166666666666662,0.04166666666666662,0.04166666666666665,0.1450471698113207,0.0444498732209152,4.536420822677768,106.67969573019668,0.9894128516785572,0.1843596021534282,0.1558947263578115,0.4177358490566038,0.1843596021534273,0.1558947263578144,0.4177358490566039
